"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.013587,0.0072749,-8.8e-05,0.0072744,0,1,0,0,0.5,0
-0.013614,0.0081586,-0.00010987,0.0081578,0,1,0.001,0.001,0.5,0
-0.013641,0.0090423,-0.00013174,0.0090412,0,1,0.002,0.002,0.5,0
-0.013669,0.0099259,-0.00015362,0.0099247,0,1,0.003,0.003,0.5,0
-0.013696,0.01081,-0.00017549,0.010808,0,1,0.004,0.004,0.5,0
-0.013723,0.011693,-0.00019736,0.011692,0,1,0.005,0.005,0.5,0
-0.01375,0.012577,-0.00021923,0.012575,0,1,0.006,0.006,0.5,0
-0.013777,0.013461,-0.0002411,0.013458,0,1,0.007,0.007,0.5,0
-0.013809,0.014501,-0.00027093,0.014499,0,1,0.008,0.008,0.5,0
-0.013862,0.016222,-0.00033525,0.016218,0,1,0.009,0.009,0.5,0
-0.013915,0.017943,-0.00039957,0.017938,0,1,0.01,0.01,0.5,0
-0.013967,0.019664,-0.00046388,0.019658,0,1,0.011,0.011,0.5,0
-0.01402,0.021384,-0.0005282,0.021377,0,1,0.012,0.012,0.5,0
-0.014073,0.023105,-0.00059251,0.023097,0,1,0.013,0.013,0.5,0
-0.014125,0.024826,-0.00065683,0.024817,0,1,0.014,0.014,0.5,0
-0.014178,0.026547,-0.00072114,0.026536,0,1,0.015,0.015,0.5,0
-0.01423,0.028233,-0.00080041,0.028221,0,1,0.016,0.016,0.5,0
-0.014279,0.029861,-0.0009046,0.029847,0,1,0.017,0.017,0.5,0
-0.014329,0.03149,-0.0010088,0.031473,0,1,0.018,0.018,0.5,0
-0.014378,0.033118,-0.001113,0.033099,0,1,0.019,0.019,0.5,0
-0.014428,0.034747,-0.0012172,0.034725,0,1,0.02,0.02,0.5,0
-0.014477,0.036376,-0.0013213,0.03635,0,1,0.021,0.021,0.5,0
-0.014527,0.038004,-0.0014255,0.037976,0,1,0.022,0.022,0.5,0
-0.014577,0.039633,-0.0015297,0.039602,0,1,0.023,0.023,0.5,0
-0.014624,0.041211,-0.0016549,0.041176,0,1,0.024,0.024,0.5,0
-0.014671,0.042749,-0.0017965,0.04271,0,1,0.025,0.025,0.5,0
-0.014718,0.044288,-0.001938,0.044244,0,1,0.026,0.026,0.5,0
-0.014764,0.045826,-0.0020795,0.045777,0,1,0.027,0.027,0.5,0
-0.014811,0.047365,-0.0022211,0.047311,0,1,0.028,0.028,0.5,0
-0.014857,0.048903,-0.0023626,0.048845,0,1,0.029,0.029,0.5,0
-0.014904,0.050442,-0.0025042,0.050378,0,1,0.03,0.03,0.5,0
-0.01495,0.051981,-0.0026457,0.051912,0,1,0.031,0.031,0.5,0
-0.014995,0.053454,-0.0028134,0.053378,0,1,0.032,0.032,0.5,0
-0.015039,0.054905,-0.0029898,0.054821,0,1,0.033,0.033,0.5,0
-0.015082,0.056356,-0.0031663,0.056264,0,1,0.034,0.034,0.5,0
-0.015126,0.057807,-0.0033427,0.057708,0,1,0.035,0.035,0.5,0
-0.01517,0.059258,-0.0035192,0.059151,0,1,0.036,0.036,0.5,0
-0.015214,0.060709,-0.0036956,0.060594,0,1,0.037,0.037,0.5,0
-0.015258,0.06216,-0.003872,0.062037,0,1,0.038,0.038,0.5,0
-0.015301,0.063611,-0.0040485,0.06348,0,1,0.039,0.039,0.5,0
-0.015343,0.064982,-0.0042554,0.064841,0,1,0.04,0.04,0.5,0
-0.015384,0.066348,-0.0044643,0.066196,0,1,0.041,0.041,0.5,0
-0.015425,0.067715,-0.0046733,0.06755,0,1,0.042,0.042,0.5,0
-0.015466,0.069081,-0.0048822,0.068905,0,1,0.043,0.043,0.5,0
-0.015508,0.070447,-0.0050912,0.07026,0,1,0.044,0.044,0.5,0
-0.015549,0.071813,-0.0053001,0.071615,0,1,0.045,0.045,0.5,0
-0.01559,0.073179,-0.005509,0.07297,0,1,0.046,0.046,0.5,0
-0.015631,0.074535,-0.0057218,0.074314,0,1,0.047,0.047,0.5,0
-0.01567,0.07582,-0.0059609,0.075582,0,1,0.048,0.048,0.5,0
-0.015709,0.077104,-0.0062,0.076851,0,1,0.049,0.049,0.5,0
-0.015748,0.078388,-0.0064391,0.07812,0,1,0.05,0.05,0.5,0
-0.015787,0.079672,-0.0066783,0.079388,0,1,0.051,0.051,0.5,0
-0.015826,0.080956,-0.0069174,0.080657,0,1,0.052,0.052,0.5,0
-0.015865,0.082241,-0.0071565,0.081926,0,1,0.053,0.053,0.5,0
-0.015904,0.083525,-0.0073957,0.083194,0,1,0.054,0.054,0.5,0
-0.015942,0.084784,-0.0076435,0.084437,0,1,0.055,0.055,0.5,0
-0.015979,0.08599,-0.0079106,0.085622,0,1,0.056,0.056,0.5,0
-0.016016,0.087195,-0.0081776,0.086807,0,1,0.057,0.057,0.5,0
-0.016053,0.0884,-0.0084447,0.087992,0,1,0.058,0.058,0.5,0
-0.01609,0.089606,-0.0087118,0.089177,0,1,0.059,0.059,0.5,0
-0.016127,0.090811,-0.0089788,0.090362,0,1,0.06,0.06,0.5,0
-0.016164,0.092016,-0.0092459,0.091547,0,1,0.061,0.061,0.5,0
-0.016201,0.093222,-0.009513,0.092732,0,1,0.062,0.062,0.5,0
-0.016237,0.094389,-0.0097929,0.093877,0,1,0.063,0.063,0.5,0
-0.016272,0.095518,-0.010086,0.094981,0,1,0.064,0.064,0.5,0
-0.016307,0.096648,-0.010379,0.096085,0,1,0.065,0.065,0.5,0
-0.016342,0.097777,-0.010671,0.097189,0,1,0.066,0.066,0.5,0
-0.016377,0.098907,-0.010964,0.098293,0,1,0.067,0.067,0.5,0
-0.016413,0.10004,-0.011257,0.099397,0,1,0.068,0.068,0.5,0
-0.016448,0.10117,-0.01155,0.1005,0,1,0.069,0.069,0.5,0
-0.016483,0.1023,-0.011843,0.1016,0,1,0.07,0.07,0.5,0
-0.016517,0.10338,-0.012152,0.10265,0,1,0.071,0.071,0.5,0
-0.016551,0.10443,-0.012468,0.10368,0,1,0.072,0.072,0.5,0
-0.016584,0.10549,-0.012785,0.10471,0,1,0.073,0.073,0.5,0
-0.016618,0.10655,-0.013102,0.10573,0,1,0.074,0.074,0.5,0
-0.016652,0.1076,-0.013418,0.10676,0,1,0.075,0.075,0.5,0
-0.016685,0.10866,-0.013735,0.10778,0,1,0.076,0.076,0.5,0
-0.016719,0.10972,-0.014051,0.10881,0,1,0.077,0.077,0.5,0
-0.016753,0.11077,-0.014368,0.10983,0,1,0.078,0.078,0.5,0
-0.016785,0.11177,-0.014703,0.11079,0,1,0.079,0.079,0.5,0
-0.016818,0.11276,-0.015041,0.11174,0,1,0.08,0.08,0.5,0
-0.01685,0.11375,-0.01538,0.1127,0,1,0.081,0.081,0.5,0
-0.016883,0.11473,-0.015718,0.11365,0,1,0.082,0.082,0.5,0
-0.016915,0.11572,-0.016056,0.1146,0,1,0.083,0.083,0.5,0
-0.016947,0.11671,-0.016394,0.11555,0,1,0.084,0.084,0.5,0
-0.01698,0.1177,-0.016732,0.1165,0,1,0.085,0.085,0.5,0
-0.017012,0.11868,-0.017072,0.11744,0,1,0.086,0.086,0.5,0
-0.017044,0.1196,-0.01743,0.11832,0,1,0.087,0.087,0.5,0
-0.017075,0.12052,-0.017788,0.1192,0,1,0.088,0.088,0.5,0
-0.017107,0.12144,-0.018146,0.12007,0,1,0.089,0.089,0.5,0
-0.017138,0.12237,-0.018504,0.12095,0,1,0.09,0.09,0.5,0
-0.017169,0.12329,-0.018862,0.12183,0,1,0.091,0.091,0.5,0
-0.017201,0.12421,-0.01922,0.12271,0,1,0.092,0.092,0.5,0
-0.017232,0.12513,-0.019578,0.12359,0,1,0.093,0.093,0.5,0
-0.017264,0.12604,-0.01994,0.12445,0,1,0.094,0.094,0.5,0
-0.017294,0.1269,-0.020316,0.12525,0,1,0.095,0.095,0.5,0
-0.017325,0.12775,-0.020692,0.12606,0,1,0.096,0.096,0.5,0
-0.017356,0.12861,-0.021068,0.12687,0,1,0.097,0.097,0.5,0
-0.017386,0.12947,-0.021444,0.12768,0,1,0.098,0.098,0.5,0
-0.017417,0.13033,-0.02182,0.12849,0,1,0.099,0.099,0.5,0
-0.017448,0.13119,-0.022196,0.12929,0,1,0.1,0.1,0.5,0
-0.017479,0.13205,-0.022572,0.1301,0,1,0.101,0.101,0.5,0
-0.017509,0.13288,-0.022955,0.13088,0,1,0.102,0.102,0.5,0
-0.017539,0.13368,-0.023347,0.13162,0,1,0.103,0.103,0.5,0
-0.01757,0.13448,-0.02374,0.13236,0,1,0.104,0.104,0.5,0
-0.0176,0.13528,-0.024132,0.1331,0,1,0.105,0.105,0.5,0
-0.01763,0.13608,-0.024524,0.13384,0,1,0.106,0.106,0.5,0
-0.01766,0.13688,-0.024916,0.13459,0,1,0.107,0.107,0.5,0
-0.017691,0.13768,-0.025308,0.13533,0,1,0.108,0.108,0.5,0
-0.017721,0.13848,-0.025701,0.13607,0,1,0.109,0.109,0.5,0
-0.017751,0.13924,-0.026102,0.13677,0,1,0.11,0.11,0.5,0
-0.017781,0.13999,-0.026509,0.13745,0,1,0.111,0.111,0.5,0
-0.017811,0.14073,-0.026916,0.13812,0,1,0.112,0.112,0.5,0
-0.017841,0.14147,-0.027323,0.1388,0,1,0.113,0.113,0.5,0
-0.017871,0.14222,-0.027729,0.13948,0,1,0.114,0.114,0.5,0
-0.017901,0.14296,-0.028136,0.14016,0,1,0.115,0.115,0.5,0
-0.017931,0.1437,-0.028543,0.14083,0,1,0.116,0.116,0.5,0
-0.017961,0.14445,-0.02895,0.14151,0,1,0.117,0.117,0.5,0
-0.01799,0.14515,-0.029367,0.14214,0,1,0.118,0.118,0.5,0
-0.01802,0.14584,-0.029787,0.14276,0,1,0.119,0.119,0.5,0
-0.01805,0.14653,-0.030207,0.14337,0,1,0.12,0.12,0.5,0
-0.01808,0.14722,-0.030627,0.14399,0,1,0.121,0.121,0.5,0
-0.01811,0.14791,-0.031047,0.1446,0,1,0.122,0.122,0.5,0
-0.01814,0.1486,-0.031467,0.14522,0,1,0.123,0.123,0.5,0
