"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0027615,0.0029697,-0.0029697,1.345e-06,0,1,0,0.5,0,0
0.0027618,0.0033361,-0.0033361,1.633e-06,0,1,0.001,0.5,0.001,0
0.0027621,0.0037025,-0.0037025,1.921e-06,0,1,0.002,0.5,0.002,0
0.0027624,0.0040689,-0.0040689,2.209e-06,0,1,0.003,0.5,0.003,0
0.0027627,0.0044353,-0.0044352,2.497e-06,0,1,0.004,0.5,0.004,0
0.002763,0.0048017,-0.0048016,2.785e-06,0,1,0.005,0.5,0.005,0
0.0027632,0.005168,-0.005168,3.073e-06,0,1,0.006,0.5,0.006,0
0.0027635,0.0055344,-0.0055344,3.361e-06,0,1,0.007,0.5,0.007,0
0.0027638,0.0059672,-0.0059672,3.737e-06,0,1,0.008,0.5,0.008,0
0.0027643,0.0066873,-0.0066873,4.4945e-06,0,1,0.009,0.5,0.009,0
0.0027647,0.0074075,-0.0074075,5.2519e-06,0,1,0.01,0.5,0.01,0
0.0027651,0.0081277,-0.0081276,6.0093e-06,0,1,0.011,0.5,0.011,0
0.0027655,0.0088478,-0.0088478,6.7668e-06,0,1,0.012,0.5,0.012,0
0.002766,0.009568,-0.009568,7.5242e-06,0,1,0.013,0.5,0.013,0
0.0027664,0.010288,-0.010288,8.2817e-06,0,1,0.014,0.5,0.014,0
0.0027668,0.011008,-0.011008,9.0391e-06,0,1,0.015,0.5,0.015,0
0.0027671,0.011719,-0.011719,9.9005e-06,0,1,0.016,0.5,0.016,0
0.0027672,0.012415,-0.012415,1.0935e-05,0,1,0.017,0.5,0.017,0
0.0027673,0.013111,-0.013111,1.197e-05,0,1,0.018,0.5,0.018,0
0.0027675,0.013807,-0.013807,1.3004e-05,0,1,0.019,0.5,0.019,0
0.0027676,0.014503,-0.014503,1.4039e-05,0,1,0.02,0.5,0.02,0
0.0027677,0.015199,-0.015199,1.5073e-05,0,1,0.021,0.5,0.021,0
0.0027678,0.015895,-0.015895,1.6108e-05,0,1,0.022,0.5,0.022,0
0.0027679,0.016591,-0.016591,1.7142e-05,0,1,0.023,0.5,0.023,0
0.0027679,0.017274,-0.017274,1.8246e-05,0,1,0.024,0.5,0.024,0
0.0027677,0.017947,-0.017947,1.9403e-05,0,1,0.025,0.5,0.025,0
0.0027675,0.018621,-0.018621,2.0559e-05,0,1,0.026,0.5,0.026,0
0.0027673,0.019295,-0.019295,2.1716e-05,0,1,0.027,0.5,0.027,0
0.0027671,0.019968,-0.019968,2.2873e-05,0,1,0.028,0.5,0.028,0
